date,time,stress,smoked
2014-08-19,16:29:49,0.262894,-1
2014-08-19,16:29:50,0.341089,-1
2014-08-19,16:29:51,0.297056,-1
2014-08-19,16:29:52,0.291831,-1
2014-08-19,16:29:53,0.276601,-1
2014-08-19,16:29:54,0.247067,-1
2014-08-19,16:29:55,0.240889,-1
2014-08-19,16:29:56,0.240889,-1
2014-08-19,16:29:57,0.225098,-1
2014-08-19,16:29:58,0.278139,-1
2014-08-19,16:29:59,0.289175,-1
2014-08-19,16:30:00,0.2403,-1
2014-08-19,16:30:01,0.2403,-1
2014-08-19,16:30:02,0.265333,-1
2014-08-19,16:30:03,0.252472,-1
2014-08-19,16:30:04,0.252374,-1
2014-08-19,16:30:07,0.253548,-1
2014-08-19,16:30:08,0.266721,-1
2014-08-19,16:30:09,0.262581,-1
2014-08-19,16:30:11,0.305913,-1
2014-08-19,16:30:12,0.30493,-1
2014-08-19,16:30:14,0.309849,-1
2014-08-19,16:30:15,0.239704,-1
2014-08-19,16:30:16,0.245546,-1
2014-08-19,16:30:17,0.248417,-1
2014-08-19,16:30:18,0.226485,-1
2014-08-19,16:30:20,0.160225,-1
2014-08-19,16:30:21,0.148975,-1
2014-08-19,16:30:22,0.147789,-1
2014-08-19,16:30:23,0.111068,-1
2014-08-19,16:30:24,0.111847,-1
2014-08-19,16:30:25,0.124763,-1
2014-08-19,16:30:28,0.147903,-1
2014-08-19,16:30:29,0.14212,-1
2014-08-19,16:30:30,0.134179,-1
2014-08-19,16:30:31,0.16723,-1
2014-08-19,16:30:32,0.168738,-1
2014-08-19,16:30:33,0.169011,-1
2014-08-19,16:30:36,0.126305,-1
2014-08-19,16:30:37,0.129152,-1
2014-08-19,16:30:41,0.116279,-1
2014-08-19,16:32:49,0.256172,-1
2014-08-19,16:32:50,0.267295,-1
2014-08-19,16:32:51,0.267577,-1
2014-08-19,16:32:52,0.276251,-1
2014-08-19,16:32:53,0.278411,-1
2014-08-19,16:32:54,0.303655,-1
2014-08-19,16:32:55,0.233674,-1
2014-08-19,16:32:56,0.203277,-1
2014-08-19,16:32:57,0.178061,-1
2014-08-19,16:32:58,0.197156,-1
2014-08-19,16:32:59,0.197127,-1
2014-08-19,16:33:00,0.218367,-1
2014-08-19,16:33:01,0.161549,-1
2014-08-19,16:33:03,0.1012,-1
2014-08-19,16:33:04,0.101057,-1
2014-08-19,16:33:15,0.145801,-1
2014-08-19,16:33:16,0.146449,-1
2014-08-19,16:33:17,0.145024,-1
2014-08-19,16:33:21,0.142621,-1
2014-08-19,16:42:55,0.110858,-1
2014-08-19,16:44:22,0.111671,-1
2014-08-19,16:44:23,0.110595,-1
2014-08-19,16:44:24,0.115849,-1
2014-08-19,16:44:26,0.131102,-1
2014-08-19,16:44:29,0.116263,-1
2014-08-19,16:44:30,0.115162,-1
2014-08-19,16:44:31,0.138235,-1
2014-08-19,16:44:32,0.165121,-1
2014-08-19,16:44:34,0.174497,-1
2014-08-19,16:46:46,0.571066,-1
2014-08-19,16:46:47,0.553952,-1
2014-08-19,16:46:48,0.476157,-1
2014-08-19,16:46:49,0.469454,-1
2014-08-19,16:46:50,0.451378,-1
2014-08-19,16:46:51,0.5,-1
2014-08-19,16:46:52,0.392901,-1
2014-08-19,16:46:53,0.328219,-1
2014-08-19,16:46:54,0.321734,-1
2014-08-19,16:46:55,0.32424,-1
2014-08-19,16:46:56,0.32497,-1
2014-08-19,16:46:57,0.299666,-1
2014-08-19,16:46:58,0.295796,-1
2014-08-19,16:46:59,0.298199,-1
2014-08-19,16:47:00,0.300065,-1
2014-08-19,16:47:01,0.240032,-1
2014-08-19,16:47:02,0.240443,-1
2014-08-19,16:47:03,0.226116,-1
2014-08-19,16:47:04,0.214475,-1
2014-08-19,16:47:05,0.180022,-1
2014-08-19,16:47:06,0.180022,-1
2014-08-19,16:47:07,0.179792,-1
2014-08-19,16:47:08,0.184715,-1
2014-08-19,16:47:09,0.183818,-1
2014-08-19,16:47:10,0.188877,-1
2014-08-19,16:47:11,0.201444,-1
2014-08-19,16:47:12,0.233412,-1
2014-08-19,16:47:13,0.240623,-1
2014-08-19,16:47:14,0.237209,-1
2014-08-19,16:47:15,0.188116,-1
2014-08-19,16:47:16,0.192667,-1
2014-08-19,16:47:17,0.128572,-1
2014-08-19,16:47:18,0.117145,-1
